,SEQ_NAME,START,END,STRAND,FEATURE_NAME,GENE_NAME,ALIASES,DESCRIPTION,TXN_START,TXN_END,CDS_START,CDS_END,EXON_COUNT,EXON_STARTS,EXON_ENDS,ISOFORM_NAME,IS_PRIMARY,Adjusted_Start,UTR_START,UTR_END
0,NC_000964.3,24,297,-,BSU_none_49,S2,ncRNA,,24,297,24,297,1,24,297,Y,,24,23,24
1,NC_000964.3,299,1067,-,BSU_none_50,S4,ncRNA,,299,1067,299,1067,1,299,1067,Y,,299,298,299
14,NC_000964.3,14847,15794,-,BSU00080,yaaC,gene,,14847,15794,14847,15794,1,14847,15794,Y,,14847,14846,14847
16,NC_000964.3,17238,17833,-,BSU_none_51,S9,ncRNA,,17238,17833,17238,17833,1,17238,17833,Y,,17238,17237,17238
19,NC_000964.3,19194,19923,-,BSU_none_52,S13,ncRNA,,19194,19923,19194,19923,1,19194,19923,Y,,19194,19193,19194
24,NC_000964.3,22496,23149,-,BSU00140,dck,gene,,22496,23149,22496,23149,1,22496,23149,Y,,22496,22495,22496
25,NC_000964.3,23146,23769,-,BSU00150,dgk,gene,,23146,23769,23146,23769,1,23146,23769,Y,,22496,22495,22496
26,NC_000964.3,23868,25151,-,BSU00160,yaaH,gene,,23868,25151,23868,25151,1,23868,25151,Y,,22496,22495,22496
27,NC_000964.3,25221,25766,-,BSU00170,yaaI,gene,,25221,25766,25221,25766,1,25221,25766,Y,,22496,22495,22496
52,NC_000964.3,44848,45138,-,BSU00370,abrB,gene,,44848,45138,44848,45138,1,44848,45138,Y,,44848,44847,44797
55,NC_000964.3,47673,50019,-,BSU_none_53,S25,ncRNA,,47673,50019,47673,50019,1,47673,50019,Y,,47673,47672,47673
63,NC_000964.3,53363,55717,-,BSU_none_54,S31,ncRNA,,53363,55717,53363,55717,1,53363,55717,Y,,53363,53362,53363
85,NC_000964.3,71190,71799,-,BSU_none_55,S37,ncRNA,,71190,71799,71190,71799,1,71190,71799,Y,,71190,71189,71190
103,NC_000964.3,88050,89566,-,BSU_none_56,S41,ncRNA,,88050,89566,88050,89566,1,88050,89566,Y,,88050,88049,88050
187,NC_000964.3,153039,153507,-,BSU_none_57,S58,ncRNA,,153039,153507,153039,153507,1,153039,153507,Y,,153039,153038,147312
194,NC_000964.3,158515,159072,-,BSU01550,gerD,gene,,158515,159072,158515,159072,1,158515,159072,Y,,158515,158514,158515
196,NC_000964.3,159779,160543,-,BSU01570,ybaN,gene,,159779,160543,159779,160543,1,159779,160543,Y,,159779,159778,159779
214,NC_000964.3,179595,180347,-,BSU01600,ybbA,gene,,179595,180347,179595,180347,1,179595,180347,Y,,179595,179594,179595
215,NC_000964.3,180344,181354,-,BSU01610,feuC,gene,,180344,181354,180344,181354,1,180344,181354,Y,,179595,179594,179595
216,NC_000964.3,181347,182351,-,BSU01620,feuB,gene,,181347,182351,181347,182351,1,181347,182351,Y,,179595,179594,179595
217,NC_000964.3,182370,183323,-,BSU01630,feuA,gene,,182370,183323,182370,183323,1,182370,183323,Y,,179595,179594,179595
218,NC_000964.3,183414,185003,-,BSU01640,ybbB,gene,,183414,185003,183414,185003,1,183414,185003,Y,,179595,179594,179595
219,NC_000964.3,185194,186438,-,BSU01650,ybbC,gene,,185194,186438,185194,186438,1,185194,186438,Y,,185194,185193,185194
220,NC_000964.3,186452,188380,-,BSU01660,ybbD,gene,,186452,188380,186452,188380,1,186452,188380,Y,,185194,185193,185194
221,NC_000964.3,188408,189733,-,BSU01670,ybbE,gene,,188408,189733,188408,189733,1,188408,189733,Y,,185194,185193,185194
222,NC_000964.3,189790,191157,-,BSU01680,ybbF,gene,,189790,191157,189790,191157,1,189790,191157,Y,,185194,185193,185194
223,NC_000964.3,191183,192034,-,BSU01690,ybbH,gene,,191183,192034,191183,192034,1,191183,192034,Y,,185194,185193,185194
224,NC_000964.3,192051,192965,-,BSU01700,murQ,gene,,192051,192965,192051,192965,1,192051,192965,Y,,185194,185193,185194
225,NC_000964.3,193075,193557,-,BSU01710,ybbJ,gene,,193075,193557,193075,193557,1,193075,193557,Y,,193075,193074,193075
226,NC_000964.3,193570,194025,-,BSU01720,ybbK,gene,,193570,194025,193570,194025,1,193570,194025,Y,,193075,193074,193075
238,NC_000964.3,202547,203458,-,BSU01800,alkA,gene,,202547,203458,202547,203458,1,202547,203458,Y,,202547,202546,202547
261,NC_000964.3,223219,223989,-,BSU02030,ybdM,gene,,223219,223989,223219,223989,1,223219,223989,Y,,223219,223218,206244
262,NC_000964.3,224075,224932,-,BSU02040,ybdN,gene,,224075,224932,224075,224932,1,224075,224932,Y,,223219,223218,206244
267,NC_000964.3,228549,229352,-,BSU02090,ybxI,gene,,228549,229352,228549,229352,1,228549,229352,Y,,228549,228548,228549
269,NC_000964.3,230819,231079,-,BSU02110,ybyB,gene,,230819,231079,230819,231079,1,230819,231079,Y,,230819,230818,230819
271,NC_000964.3,233014,233895,-,BSU02130,glpQ,gene,,233014,233895,233014,233895,1,233014,233895,Y,,233014,233013,232975
272,NC_000964.3,233994,235328,-,BSU02140,glpT,gene,,233994,235328,233994,235328,1,233994,235328,Y,,233014,233013,232975
277,NC_000964.3,238164,238448,-,BSU02180,ybfE,gene,,238164,238448,238164,238448,1,238164,238448,Y,,238164,238163,235390
278,NC_000964.3,238644,239555,-,BSU02190,ybfF,gene,,238644,239555,238644,239555,1,238644,239555,Y,,238644,238643,238644
279,NC_000964.3,239644,241842,-,BSU02200,ybfG,gene,,239644,241842,239644,241842,1,239644,241842,Y,,238644,238643,238644
280,NC_000964.3,241917,242837,-,BSU02210,ybfH,gene,,241917,242837,241917,242837,1,241917,242837,Y,,238644,238643,238644
281,NC_000964.3,242834,243661,-,BSU02220,ybfI,gene,,242834,243661,242834,243661,1,242834,243661,Y,,238644,238643,238644
293,NC_000964.3,253518,254762,-,BSU02340,gltP,gene,,253518,254762,253518,254762,1,253518,254762,Y,,253518,253517,253518
294,NC_000964.3,254907,256802,-,BSU02350,gamP,gene,,254907,256802,254907,256802,1,254907,256802,Y,,254907,254906,254907
295,NC_000964.3,256823,257572,-,BSU02360,nagBB,gene,,256823,257572,256823,257572,1,256823,257572,Y,,254907,254906,254907
299,NC_000964.3,260123,261535,-,BSU02400,ybgF,gene,,260123,261535,260123,261535,1,260123,261535,Y,,260123,260122,260123
300,NC_000964.3,261656,262603,-,BSU02410,mmuM,gene,,261656,262603,261656,262603,1,261656,262603,Y,,261656,261655,261656
301,NC_000964.3,262732,264168,-,BSU02420,glnT,gene,,262732,264168,262732,264168,1,262732,264168,Y,,262732,262731,262732
302,NC_000964.3,264191,265174,-,BSU02430,ybgJ,gene,,264191,265174,264191,265174,1,264191,265174,Y,,262732,262731,262732
318,NC_000964.3,281769,282155,-,BSU02590,ycbP,gene,,281769,282155,281769,282155,1,281769,282155,Y,,281769,281768,281769
325,NC_000964.3,286773,287420,-,BSU02650,pcp,gene,,286773,287420,286773,287420,1,286773,287420,Y,,286773,286772,286773
327,NC_000964.3,288653,290092,-,BSU02670,lmrB,gene,,288653,290092,288653,290092,1,288653,290092,Y,,288653,288652,288653
328,NC_000964.3,290132,290698,-,BSU02680,lmrA,gene,,290132,290698,290132,290698,1,290132,290698,Y,,288653,288652,288653
331,NC_000964.3,292881,293264,-,BSU02710,yczC,gene,,292881,293264,292881,293264,1,292881,293264,Y,,292881,292880,292881
333,NC_000964.3,294615,295571,-,BSU02730,natK,gene,,294615,295571,294615,295571,1,294615,295571,Y,,294615,294614,294615
