,SEQ_NAME,START,END,STRAND,FEATURE_NAME,GENE_NAME,ALIASES,DESCRIPTION,TXN_START,TXN_END,CDS_START,CDS_END,EXON_COUNT,EXON_STARTS,EXON_ENDS,ISOFORM_NAME,IS_PRIMARY,Adjusted_End,UTR_START,UTR_END
2,NC_000964.3,410,1750,+,BSU00010,dnaA,gene,,410,1750,410,1750,1,410,1750,Y,,1750,1751,1838
3,NC_000964.3,1939,3075,+,BSU00020,dnaN,gene,,1939,3075,1939,3075,1,1939,3075,Y,,3075,3076,3111
4,NC_000964.3,3206,3421,+,BSU00030,yaaA,gene,,3206,3421,3206,3421,1,3206,3421,Y,,6783,6784,6826
5,NC_000964.3,3437,4549,+,BSU00040,recF,gene,,3437,4549,3437,4549,1,3437,4549,Y,,6783,6784,6826
6,NC_000964.3,4567,4812,+,BSU00050,yaaB,gene,,4567,4812,4567,4812,1,4567,4812,Y,,6783,6784,6826
7,NC_000964.3,4867,6783,+,BSU00060,gyrB,gene,,4867,6783,4867,6783,1,4867,6783,Y,,6783,6784,6826
8,NC_000964.3,6994,9459,+,BSU00070,gyrA,gene,,6994,9459,6994,9459,1,6994,9459,Y,,9459,9460,9494
9,NC_000964.3,9810,11364,+,BSU_RRNA_1,rrnO-16S,rRNA,,9810,11364,9810,11364,1,9810,11364,Y,,11364,11365,11430
10,NC_000964.3,11464,11540,+,BSU_TRNA_5,trnO-Ile,tRNA,,11464,11540,11464,11540,1,11464,11540,Y,,14810,14811,14810
11,NC_000964.3,11552,11627,+,BSU_TRNA_6,trnO-Ala,tRNA,,11552,11627,11552,11627,1,11552,11627,Y,,14810,14811,14810
12,NC_000964.3,11709,14636,+,BSU_RRNA_2,rrnO-23S,rRNA,,11709,14636,11709,14636,1,11709,14636,Y,,14810,14811,14810
13,NC_000964.3,14692,14810,+,BSU_RRNA_3,rrnO-5S,rRNA,,14692,14810,14692,14810,1,14692,14810,Y,,14810,14811,14810
15,NC_000964.3,15915,17381,+,BSU00090,guaB,gene,,15915,17381,15915,17381,1,15915,17381,Y,,17381,17382,17434
17,NC_000964.3,17534,18865,+,BSU00100,dacA,gene,,17534,18865,17534,18865,1,17534,18865,Y,,18865,18866,18907
18,NC_000964.3,19062,19946,+,BSU00110,yaaD,gene,,19062,19946,19062,19946,1,19062,19946,Y,,22157,22158,22197
20,NC_000964.3,19968,20558,+,BSU00120,yaaE,gene,,19968,20558,19968,20558,1,19968,20558,Y,,22157,22158,22197
21,NC_000964.3,20597,20845,+,Leader_serS,serS_leader,riboswitch,,20597,20845,20597,20845,1,20597,20845,Y,,22157,22158,22197
22,NC_000964.3,20880,22157,+,BSU00130,serS,gene,,20880,22157,20880,22157,1,20880,22157,Y,,22157,22158,22197
23,NC_000964.3,22292,22384,+,BSU_TRNA_7,trnSL-Ser1,tRNA,,22292,22384,22292,22384,1,22292,22384,Y,,22384,22385,22384
28,NC_000964.3,25852,26337,+,BSU00180,tadA,gene,,25852,26337,25852,26337,1,25852,26337,Y,,26337,26338,26686
29,NC_000964.3,26814,28505,+,BSU00190,dnaX,gene,,26814,28505,26814,28505,1,26814,28505,Y,,30035,30036,30035
30,NC_000964.3,28529,28852,+,BSU00200,yaaK,gene,,28529,28852,28529,28852,1,28529,28852,Y,,30035,30036,30035
31,NC_000964.3,28867,29463,+,BSU00210,recR,gene,,28867,29463,28867,29463,1,28867,29463,Y,,30035,30036,30035
32,NC_000964.3,29481,29705,+,BSU00220,yaaL,gene,,29481,29705,29481,29705,1,29481,29705,Y,,30035,30036,30035
33,NC_000964.3,29772,30035,+,BSU00230,bofA,gene,,29772,30035,29772,30035,1,29772,30035,Y,,30035,30036,30035
34,NC_000964.3,30279,31832,+,BSU_RRNA_4,rrnA-16S,rRNA,,30279,31832,30279,31832,1,30279,31832,Y,,31832,31833,31898
35,NC_000964.3,31932,32008,+,BSU_TRNA_8,trnA-Ile,tRNA,,31932,32008,31932,32008,1,31932,32008,Y,,35103,35104,35103
36,NC_000964.3,32020,32095,+,BSU_TRNA_9,trnA-Ala,tRNA,,32020,32095,32020,32095,1,32020,32095,Y,,35103,35104,35103
37,NC_000964.3,32177,35103,+,BSU_RRNA_5,rrnA-23S,rRNA,,32177,35103,32177,35103,1,32177,35103,Y,,35103,35104,35103
38,NC_000964.3,35237,35355,+,BSU_RRNA_26,rrnA-5S,rRNA,,35237,35355,35237,35355,1,35237,35355,Y,,35355,35356,35355
39,NC_000964.3,35531,35725,+,BSU00240,csfB,gene,,35531,35725,35531,35725,1,35531,35725,Y,,35725,35726,35725
40,NC_000964.3,35845,36459,+,BSU00250,xpaC,gene,,35845,36459,35845,36459,1,35845,36459,Y,,44799,44800,44799
41,NC_000964.3,36478,37638,+,BSU00260,yaaN,gene,,36478,37638,36478,37638,1,36478,37638,Y,,44799,44800,44799
42,NC_000964.3,37720,39162,+,BSU00270,yaaO,gene,,37720,39162,37720,39162,1,37720,39162,Y,,44799,44800,44799
43,NC_000964.3,39159,39797,+,BSU00280,tmk,gene,,39159,39797,39159,39797,1,39159,39797,Y,,44799,44800,44799
44,NC_000964.3,39871,40200,+,BSU00290,yaaQ,gene,,39871,40200,39871,40200,1,39871,40200,Y,,44799,44800,44799
45,NC_000964.3,40213,40653,+,BSU00300,yaaR,gene,,40213,40653,40213,40653,1,40213,40653,Y,,44799,44800,44799
46,NC_000964.3,40665,41654,+,BSU00310,holB,gene,,40665,41654,40665,41654,1,40665,41654,Y,,44799,44800,44799
47,NC_000964.3,41657,42484,+,BSU00320,yaaT,gene,,41657,42484,41657,42484,1,41657,42484,Y,,44799,44800,44799
48,NC_000964.3,42499,42858,+,BSU00330,yabA,gene,,42499,42858,42499,42858,1,42499,42858,Y,,44799,44800,44799
49,NC_000964.3,42917,43660,+,BSU00340,yabB,gene,,42917,43660,42917,43660,1,42917,43660,Y,,44799,44800,44799
50,NC_000964.3,43647,43946,+,BSU00350,yazA,gene,,43647,43946,43647,43946,1,43647,43946,Y,,44799,44800,44799
51,NC_000964.3,43921,44799,+,BSU00360,yabC,gene,,43921,44799,43921,44799,1,43921,44799,Y,,44799,44800,44799
53,NC_000964.3,45535,45632,+,Leader_metS,metS_leader,riboswitch,,45535,45632,45535,45632,1,45535,45632,Y,,48473,48474,48473
54,NC_000964.3,45633,47627,+,BSU00380,metS,gene,,45633,47627,45633,47627,1,45633,47627,Y,,48473,48474,48473
56,NC_000964.3,47706,48473,+,BSU00390,yabD,gene,,47706,48473,47706,48473,1,47706,48473,Y,,48473,48474,48473
57,NC_000964.3,48629,49942,+,BSU00400,yabE,gene,,48629,49942,48629,49942,1,48629,49942,Y,,49942,49943,49942
58,NC_000964.3,50087,50647,+,BSU00410,rnmV,gene,,50087,50647,50087,50647,1,50087,50647,Y,,51518,51519,51518
59,NC_000964.3,50640,51518,+,BSU00420,ksgA,gene,,50640,51518,50640,51518,1,50640,51518,Y,,51518,51519,51518
60,NC_000964.3,51680,52552,+,BSU00430,yabG,gene,,51680,52552,51680,52552,1,51680,52552,Y,,52552,52553,52552
61,NC_000964.3,52763,53023,+,BSU00440,veg,gene,,52763,53023,52763,53023,1,52763,53023,Y,,53023,53024,53055
62,NC_000964.3,53183,53368,+,BSU00450,sspF,gene,,53183,53368,53183,53368,1,53183,53368,Y,,53368,53369,53368
64,NC_000964.3,53516,54385,+,BSU00460,ipk,gene,,53516,54385,53516,54385,1,53516,54385,Y,,55672,55673,55713
65,NC_000964.3,54441,55298,+,BSU00470,purR,gene,,54441,55298,54441,55298,1,54441,55298,Y,,55672,55673,55713
66,NC_000964.3,55295,55672,+,BSU00480,yabJ,gene,,55295,55672,55295,55672,1,55295,55672,Y,,55672,55673,55713
67,NC_000964.3,55866,56159,+,BSU00490,spoVG,gene,,55866,56159,55866,56159,1,55866,56159,Y,,56159,56160,56225
68,NC_000964.3,56352,57722,+,BSU00500,glmU,gene,,56352,57722,56352,57722,1,56352,57722,Y,,59397,59398,59438
69,NC_000964.3,57745,58698,+,BSU00510,prs,gene,,57745,58698,57745,58698,1,57745,58698,Y,,59397,59398,59438
70,NC_000964.3,58783,59397,+,BSU00520,ctc,gene,,58783,59397,58783,59397,1,58783,59397,Y,,59397,59398,59438
71,NC_000964.3,59504,60070,+,BSU00530,pth,gene,,59504,60070,59504,60070,1,59504,60070,Y,,63963,63964,63963
72,NC_000964.3,60130,60360,+,BSU00540,yabK,gene,,60130,60360,60130,60360,1,60130,60360,Y,,63963,63964,63963
73,NC_000964.3,60430,63963,+,BSU00550,mfd,gene,,60430,63963,60430,63963,1,60430,63963,Y,,63963,63964,63963
74,NC_000964.3,64099,64635,+,BSU00560,spoVT,gene,,64099,64635,64099,64635,1,64099,64635,Y,,64635,64636,64702
75,NC_000964.3,64817,66415,+,BSU00570,yabM,gene,,64817,66415,64817,66415,1,64817,66415,Y,,70012,70013,70070
76,NC_000964.3,66405,67874,+,BSU00580,yabN,gene,,66405,67874,66405,67874,1,66405,67874,Y,,70012,70013,70070
77,NC_000964.3,67877,68137,+,BSU00590,yabO,gene,,67877,68137,67877,68137,1,67877,68137,Y,,70012,70013,70070
78,NC_000964.3,68216,68518,+,BSU00600,yabP,gene,,68216,68518,68216,68518,1,68216,68518,Y,,70012,70013,70070
79,NC_000964.3,68515,69150,+,BSU00610,yabQ,gene,,68515,69150,68515,69150,1,68515,69150,Y,,70012,70013,70070
80,NC_000964.3,69168,69545,+,BSU00620,divIC,gene,,69168,69545,69168,69545,1,69168,69545,Y,,70012,70013,70070
81,NC_000964.3,69626,70012,+,BSU00630,yabR,gene,,69626,70012,69626,70012,1,69626,70012,Y,,70012,70013,70070
82,NC_000964.3,70181,70257,+,BSU_TRNA_10,trnSL-Met1,tRNA,,70181,70257,70181,70257,1,70181,70257,Y,,70338,70339,70379
83,NC_000964.3,70267,70338,+,BSU_TRNA_11,trnSL-Glu1,tRNA,,70267,70338,70267,70338,1,70267,70338,Y,,70338,70339,70379
84,NC_000964.3,70538,73021,+,BSU00640,spoIIE,gene,,70538,73021,70538,73021,1,70538,73021,Y,,74825,74826,74825
86,NC_000964.3,73106,73843,+,BSU00650,yabS,gene,,73106,73843,73106,73843,1,73106,73843,Y,,74825,74826,74825
87,NC_000964.3,73809,74825,+,BSU00660,yabT,gene,,73809,74825,73809,74825,1,73809,74825,Y,,74825,74826,74825
88,NC_000964.3,74929,76347,+,BSU00670,tilS,gene,,74929,76347,74929,76347,1,74929,76347,Y,,78897,78898,78945
89,NC_000964.3,76344,76886,+,BSU00680,hprT,gene,,76344,76886,76344,76886,1,76344,76886,Y,,78897,78898,78945
90,NC_000964.3,76984,78897,+,BSU00690,ftsH,gene,,76984,78897,76984,78897,1,76984,78897,Y,,78897,78898,78945
91,NC_000964.3,79092,79868,+,BSU00700,coaX,gene,,79092,79868,79092,79868,1,79092,79868,Y,,82697,82698,82697
92,NC_000964.3,79880,80755,+,BSU00710,hslO,gene,,79880,80755,79880,80755,1,79880,80755,Y,,82697,82698,82697
93,NC_000964.3,80802,81695,+,BSU00720,yacD,gene,,80802,81695,80802,81695,1,80802,81695,Y,,82697,82698,82697
